full voltage, full current, disabled voltage, disabled current
5.000, 0.1280,5.010, 0.1050
5.000, 0.1280,5.010, 0.1050
5.000, 0.1360,5.010, 0.1150
5.000, 0.1360,5.010, 0.1150
5.010, 0.1270,5.010, 0.1050
5.010, 0.1280,5.010, 0.1050
5.000, 0.1360,5.000, 0.1180
5.000, 0.1340,5.010, 0.1050
5.000, 0.1290,5.010, 0.1050
5.000, 0.1300,5.010, 0.1070
5.000, 0.1290,5.010, 0.1050
5.000, 0.1290,5.010, 0.1050
5.000, 0.1300,5.010, 0.1140
5.000, 0.1390,5.010, 0.1140
5.000, 0.1300,5.010, 0.1050
5.000, 0.1290,5.010, 0.1150
5.000, 0.1420,5.010, 0.1150
5.000, 0.1410,5.010, 0.1050
5.000, 0.1340,5.010, 0.1050
5.000, 0.1420,5.010, 0.1050
5.000, 0.1380,5.010, 0.1050
4.990, 0.1510,5.010, 0.1050
5.000, 0.1300,5.010, 0.1050
5.000, 0.1390,5.000, 0.1150
5.000, 0.1300,5.010, 0.1050
5.000, 0.1290,5.010, 0.1050
5.000, 0.1280,5.000, 0.1150
5.000, 0.1290,5.000, 0.1150
5.000, 0.1290,5.010, 0.1140
5.000, 0.1310,5.010, 0.1150
5.000, 0.1400,5.000, 0.1170
4.990, 0.1580,5.010, 0.1050
5.000, 0.1300,5.010, 0.1110
5.000, 0.1420,5.000, 0.1150
4.980, 0.1720,5.010, 0.1050
5.000, 0.1350,5.010, 0.1050
