rasp_fsk_ff_4mhz_2,rasp_fsk_ff_4mhz_4
0.00,0.13
0.00,0.07
-0.07,0.13
0.00,0.07
0.00,0.13
0.00,0.07
0.00,0.13
0.00,0.13
0.00,0.07
0.00,0.07
0.00,0.13
0.00,0.07
0.00,0.13
0.00,0.07
0.00,0.13
0.00,0.13
0.00,0.07
0.00,0.07
0.00,0.13
0.00,0.07
0.00,0.13
0.00,0.07
0.00,0.13
0.00,0.13
0.00,0.07
0.00,0.07
0.00,0.13
0.00,0.07
0.00,0.13
2.60,0.00
3.47,0.27
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.07
3.40,0.13
3.40,0.13
3.40,0.07
3.47,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,-0.07
3.40,0.13
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.07
3.47,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.13
3.47,0.07
3.40,0.00
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.13
3.47,0.07
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.13
3.40,3.87
3.33,3.33
3.47,3.53
3.40,3.53
3.20,-0.33
3.13,0.00
3.40,0.13
3.40,0.07
3.33,2.60
3.40,3.33
3.40,3.67
3.40,3.53
3.27,2.20
3.33,0.00
3.27,-0.07
3.40,0.13
3.47,1.40
3.40,3.53
3.13,3.80
3.40,3.40
3.40,3.07
3.20,-0.33
3.47,0.07
3.40,0.07
3.40,0.13
3.20,2.80
3.33,3.33
3.40,3.53
3.53,3.53
3.33,0.80
3.33,0.20
3.40,0.13
3.40,-0.07
3.53,2.67
3.20,3.40
3.27,3.67
3.47,3.47
3.27,3.07
3.40,-0.07
3.40,-0.07
3.40,0.13
3.27,0.07
3.40,4.00
3.27,3.40
3.40,3.47
3.40,3.53
3.33,-0.27
3.33,0.07
3.40,0.27
3.40,0.07
3.27,2.73
3.40,3.53
3.40,3.47
3.40,3.53
3.27,2.20
3.40,0.00
3.40,-0.07
3.40,0.07
3.33,1.47
3.20,3.47
3.33,3.67
3.40,3.40
3.40,3.13
3.33,-0.33
3.13,0.07
3.40,0.07
3.40,0.13
3.40,0.13
3.40,0.07
3.40,0.07
3.40,0.13
3.40,0.00
3.40,0.13
3.40,0.07
3.40,0.00
3.40,0.13
3.40,0.00
3.40,0.07
3.40,0.00
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,-0.07
3.40,0.13
3.40,0.13
3.40,0.07
3.27,0.07
3.40,0.07
3.40,0.07
3.40,0.13
3.40,0.07
3.27,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.27,0.07
3.40,0.07
3.27,0.13
3.40,0.07
3.27,0.07
3.40,0.07
3.40,0.13
3.27,0.13
3.40,0.07
3.40,0.07
3.27,0.13
3.40,0.07
3.27,0.13
3.40,0.07
3.40,0.13
3.40,0.13
3.40,0.07
3.27,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.07
3.40,0.13
3.40,0.13
3.27,0.00
3.40,0.07
3.27,0.07
3.40,0.07
3.40,0.07
3.40,0.07
3.33,3.87
3.33,3.53
3.27,3.47
3.40,3.47
3.47,0.40
3.20,0.13
3.40,-0.07
3.27,0.00
3.33,1.67
3.27,3.33
3.27,3.53
3.40,3.47
3.27,2.20
3.40,0.00
3.27,-0.20
3.40,-0.07
3.13,1.20
3.40,3.67
3.27,3.47
3.47,3.47
3.27,3.53
3.20,0.40
3.33,0.13
3.27,0.07
3.40,0.13
3.13,2.73
3.33,3.33
3.27,3.47
3.40,3.53
3.33,0.80
3.33,0.20
3.13,0.00
3.40,-0.20
3.40,1.33
3.13,3.60
3.40,3.47
3.40,3.53
3.40,3.53
3.20,-0.27
3.27,0.00
3.13,-0.07
3.40,0.07
3.27,3.87
3.27,3.53
3.27,3.33
3.40,3.53
3.33,0.40
3.27,0.07
3.40,-0.07
3.40,-0.07
3.27,1.67
3.20,3.33
3.27,3.53
3.40,3.53
3.13,2.13
3.33,-0.07
3.27,-0.20
3.27,0.07
3.27,1.00
3.27,3.73
3.13,3.33
3.40,3.40
3.40,3.47
3.40,0.40
3.13,0.00
0.87,0.07
-0.13,-0.27
-0.07,-0.07
-0.07,-0.13
-0.07,-0.13
-0.07,-0.13
-0.07,-0.13
-0.13,0.00
-0.07,-0.13
-0.13,-0.13
-0.07,1.20
-0.13,3.73
-0.13,3.40
-0.07,3.47
-0.07,3.47
-0.13,-0.27
-0.07,0.00
-0.13,-0.13
-0.07,-0.07
-0.27,3.80
-0.13,3.40
-0.07,3.27
-0.07,3.53
0.00,0.53
-0.13,-0.07
-0.07,-0.07
-0.07,-0.07
-0.13,1.53
-0.13,3.20
-0.07,3.67
0.00,3.47
-0.13,2.07
-0.07,-0.07
-0.13,-0.27
-0.07,-0.07
-0.13,1.20
-0.07,3.73
-0.13,3.33
-0.13,3.33
-0.07,3.47
-0.07,0.27
-0.27,0.00
-0.07,0.07
-0.13,-0.27
-0.13,2.40
-0.07,3.33
-0.13,3.33
-0.07,3.47
-0.13,0.73
-0.07,-0.07
-0.13,-0.13
-0.07,-0.07
-0.07,1.20
-0.27,3.60
-0.13,3.47
-0.07,3.33
-0.07,3.40
-0.27,-0.27
-0.07,-0.20
-0.13,-0.07
-0.07,-0.13
-0.27,3.87
-0.07,3.33
-0.13,3.53
-0.13,3.47
0.07,0.40
-0.13,0.07
-0.07,-0.07
-0.07,-0.13
-0.13,1.60
-0.13,3.13
-0.07,3.33
-0.13,3.47
-0.07,2.13
0.00,0.00
-0.07,-0.27
-0.07,-0.20
-0.13,-0.07
-0.13,0.00
-0.07,-0.13
-0.13,0.00
-0.07,-0.13
-0.07,-0.13
-0.13,-0.13
-0.07,0.07
-0.13,-0.13
-0.13,-0.13
-0.07,-0.13
-0.13,0.07
-0.13,0.07
-0.13,-0.13
-0.07,-0.07
-0.07,0.13
-0.13,-0.27
-0.07,-0.13
-0.13,-0.27
-0.07,-0.07
-0.07,-0.27
-0.13,-0.27
-0.07,-0.13
-0.13,-0.13
0.13,-0.20
-0.07,0.00
0.13,-0.13
0.00,-0.13
0.00,-0.13
0.00,-0.13
0.00,-0.13
0.00,-0.13
0.00,-0.27
0.00,-0.13
0.00,-0.27
0.00,-0.13
0.00,-0.27
0.00,-0.27
0.00,-0.13
0.00,-0.13
0.00,-0.13
0.00,-0.13
0.00,-0.27
0.00,-0.13
-0.07,-0.13
0.00,-0.27
-0.07,0.00
0.00,-0.13
